Stoney Creek, ON L8G 1L9|Wills Point, TX 75169
245 King St. E.|1116 St. Thomas Way
888-WIN-ASIA|800-WIN-ASIA
888-946-2742|800-946-2742
www_gfa_ca|www_gfa_org
gfa.ca|gfa.org
Catalogue|Catalog
catalogue|catalog
Saviour|Savior
Honour|Honor
honour|honor
honourably|honorably
labour|labor
Centred|Centered
centered|centered
Centre|Center
centre|center
Colour|Color
Colours|Colors
colour|color
favourite|favorite
Tumour|Tumor
tumour|tumor
neighbour|neighbor
neighbours|neighbors
Neighbour|Neighbor
plough|plow
endeavour|endeavor
meagre|meager
flavour|flavor
favour|favor
armour|armor
behaviour|behavior
harbour|harbor
fervour|fervor
worshipping|worshiping
marvelled|marveled
mum|mom
Intensive Discipleship Program|School of Discipleship
GFA World|Gospel for Asia
: Anglicised Edition, copyright &#169; 1989, 1995|, copyright &#169; 1989
